w_flavour,w_nutrition,w_macro,w_cooccurrence,MRR,H@5,H@10
0.05,0.45,0.0,0.5,0.2755,0.3684,0.6316
0.05,0.5,0.0,0.45,0.2755,0.3684,0.6316
0.05,0.8,0.0,0.15,0.2755,0.3684,0.6316
0.05,0.9,0.0,0.05,0.2755,0.3684,0.6316
0.3,0.15,0.5,0.05,0.2754,0.4211,0.7895
0.3,0.2,0.5,0.0,0.2754,0.4211,0.7895
0.05,0.95,0.0,0.0,0.2754,0.3684,0.6316
0.25,0.35,0.25,0.15,0.2753,0.4737,0.7895
0.05,0.75,0.0,0.2,0.2753,0.3684,0.6316
0.2,0.35,0.25,0.2,0.2752,0.4737,0.7895
0.2,0.4,0.25,0.15,0.2752,0.4737,0.7895
0.4,0.15,0.4,0.05,0.2752,0.4737,0.7368
0.15,0.15,0.6,0.1,0.2752,0.3684,0.7895
0.05,0.5,0.4,0.05,0.2751,0.4211,0.7895
0.35,0.2,0.4,0.05,0.2751,0.4211,0.7895
0.05,0.6,0.0,0.35,0.2751,0.3684,0.6316
0.05,0.65,0.0,0.3,0.2751,0.3684,0.6316
0.05,0.7,0.0,0.25,0.2751,0.3684,0.6316
0.3,0.15,0.55,0.0,0.275,0.4211,0.7895
0.1,0.25,0.3,0.35,0.2749,0.4211,0.7895
0.2,0.2,0.3,0.3,0.2749,0.4211,0.7895
0.2,0.25,0.3,0.25,0.2749,0.4211,0.7895
0.1,0.2,0.6,0.1,0.2749,0.3684,0.7895
0.05,0.55,0.0,0.4,0.2749,0.3684,0.6316
0.15,0.15,0.4,0.3,0.2748,0.4211,0.7895
0.15,0.25,0.3,0.3,0.2748,0.4211,0.7895
0.15,0.3,0.45,0.1,0.2748,0.4211,0.7895
0.2,0.15,0.45,0.2,0.2748,0.4211,0.7895
0.2,0.15,0.5,0.15,0.2748,0.4211,0.7895
0.2,0.2,0.45,0.15,0.2748,0.4211,0.7895
0.2,0.2,0.5,0.1,0.2748,0.4211,0.7895
0.25,0.15,0.55,0.05,0.2748,0.4211,0.7895
0.25,0.2,0.5,0.05,0.2748,0.4211,0.7895
0.15,0.2,0.3,0.35,0.2747,0.4211,0.7895
0.15,0.15,0.35,0.35,0.2746,0.4211,0.7895
0.35,0.1,0.55,0.0,0.2746,0.4211,0.7368
0.1,0.3,0.15,0.45,0.2743,0.4211,0.7368
0.15,0.05,0.7,0.1,0.2743,0.4211,0.7368
0.25,0.1,0.6,0.05,0.2743,0.4211,0.7368
0.4,0.25,0.3,0.05,0.2742,0.4737,0.7368
0.3,0.1,0.55,0.05,0.2742,0.4211,0.7368
0.3,0.4,0.25,0.05,0.274,0.4737,0.7895
0.3,0.3,0.3,0.1,0.2739,0.4737,0.7895
0.35,0.2,0.35,0.1,0.2739,0.4737,0.7895
0.3,0.1,0.6,0.0,0.2739,0.4211,0.7368
0.15,0.1,0.65,0.1,0.2738,0.4211,0.7895
0.3,0.15,0.35,0.2,0.2738,0.4211,0.7895
0.3,0.2,0.05,0.45,0.2738,0.3684,0.6316
0.3,0.25,0.05,0.4,0.2738,0.3684,0.6316
0.35,0.2,0.05,0.4,0.2738,0.3684,0.6316
0.35,0.25,0.05,0.35,0.2738,0.3684,0.6316
0.35,0.3,0.05,0.3,0.2738,0.3684,0.6316
0.35,0.35,0.05,0.25,0.2738,0.3684,0.6316
0.25,0.5,0.2,0.05,0.2737,0.4737,0.7895
0.1,0.35,0.1,0.45,0.2737,0.4211,0.6842
0.1,0.2,0.2,0.5,0.2737,0.3684,0.7895
0.1,0.25,0.2,0.45,0.2737,0.3684,0.7895
0.4,0.2,0.05,0.35,0.2737,0.3684,0.6316
0.4,0.25,0.05,0.3,0.2737,0.3684,0.6316
0.4,0.3,0.05,0.25,0.2737,0.3684,0.6316
0.4,0.35,0.05,0.2,0.2737,0.3684,0.6316
0.4,0.4,0.05,0.15,0.2737,0.3684,0.6316
0.4,0.45,0.05,0.1,0.2737,0.3684,0.6316
0.45,0.25,0.05,0.25,0.2737,0.3684,0.6316
0.45,0.3,0.05,0.2,0.2737,0.3684,0.6316
0.45,0.35,0.05,0.15,0.2737,0.3684,0.6316
0.45,0.4,0.05,0.1,0.2737,0.3684,0.6316
0.45,0.45,0.05,0.05,0.2737,0.3684,0.6316
0.45,0.5,0.05,0.0,0.2737,0.3684,0.6316
0.5,0.25,0.05,0.2,0.2737,0.3684,0.6316
0.5,0.3,0.05,0.15,0.2737,0.3684,0.6316
0.5,0.35,0.05,0.1,0.2737,0.3684,0.6316
0.5,0.4,0.05,0.05,0.2737,0.3684,0.6316
0.55,0.3,0.05,0.1,0.2737,0.3684,0.6316
0.25,0.3,0.25,0.2,0.2736,0.4737,0.7895
0.3,0.25,0.3,0.15,0.2736,0.4737,0.7895
0.1,0.35,0.25,0.3,0.2736,0.4211,0.7895
0.5,0.45,0.05,0.0,0.2736,0.3684,0.6316
0.55,0.35,0.05,0.05,0.2736,0.3684,0.6316
0.55,0.4,0.05,0.0,0.2736,0.3684,0.6316
0.6,0.3,0.05,0.05,0.2736,0.3684,0.6316
0.6,0.35,0.05,0.0,0.2736,0.3684,0.6316
0.1,0.25,0.6,0.05,0.2735,0.4211,0.7895
0.1,0.3,0.1,0.5,0.2735,0.4211,0.6842
0.25,0.2,0.0,0.55,0.2735,0.3684,0.6316
0.25,0.3,0.0,0.45,0.2735,0.3684,0.6316
0.3,0.25,0.0,0.45,0.2735,0.3684,0.6316
0.3,0.35,0.0,0.35,0.2735,0.3684,0.6316
0.35,0.25,0.0,0.4,0.2735,0.3684,0.6316
0.1,0.65,0.2,0.05,0.2734,0.4737,0.7895
0.1,0.3,0.55,0.05,0.2734,0.4211,0.7895
0.35,0.15,0.4,0.1,0.2734,0.4211,0.7368
0.2,0.25,0.0,0.55,0.2734,0.3684,0.6316
0.3,0.4,0.0,0.3,0.2734,0.3684,0.6316
0.35,0.3,0.0,0.35,0.2734,0.3684,0.6316
0.35,0.4,0.0,0.25,0.2734,0.3684,0.6316
0.4,0.3,0.0,0.3,0.2734,0.3684,0.6316
0.1,0.4,0.45,0.05,0.2733,0.3684,0.7895
0.2,0.15,0.0,0.65,0.2733,0.3684,0.6316
0.35,0.45,0.0,0.2,0.2733,0.3684,0.6316
0.4,0.35,0.0,0.25,0.2733,0.3684,0.6316
0.4,0.45,0.0,0.15,0.2733,0.3684,0.6316
0.4,0.5,0.0,0.1,0.2733,0.3684,0.6316
0.45,0.35,0.0,0.2,0.2733,0.3684,0.6316
0.45,0.4,0.0,0.15,0.2733,0.3684,0.6316
0.45,0.5,0.0,0.05,0.2733,0.3684,0.6316
0.45,0.55,0.0,0.0,0.2733,0.3684,0.6316
0.5,0.4,0.0,0.1,0.2733,0.3684,0.6316
0.5,0.45,0.0,0.05,0.2733,0.3684,0.6316
0.55,0.4,0.0,0.05,0.2733,0.3684,0.6316
0.55,0.45,0.0,0.0,0.2733,0.3684,0.6316
0.1,0.15,0.25,0.5,0.2732,0.3684,0.7895
0.1,0.55,0.2,0.15,0.2731,0.4737,0.7895
0.1,0.6,0.2,0.1,0.2731,0.4737,0.7895
0.1,0.1,0.7,0.1,0.2731,0.4211,0.7368
0.1,0.25,0.1,0.55,0.2731,0.4211,0.6842
0.3,0.15,0.4,0.15,0.273,0.4211,0.7895
0.15,0.25,0.5,0.1,0.273,0.3684,0.7895
0.25,0.2,0.35,0.2,0.2729,0.4211,0.7895
0.25,0.25,0.35,0.15,0.2729,0.4211,0.7895
0.3,0.2,0.4,0.1,0.2729,0.4211,0.7895
0.3,0.25,0.4,0.05,0.2729,0.4211,0.7895
0.15,0.2,0.0,0.65,0.2729,0.3684,0.6316
0.1,0.35,0.5,0.05,0.2728,0.4211,0.7895
0.65,0.3,0.05,0.0,0.2728,0.3684,0.6316
0.2,0.45,0.2,0.15,0.2727,0.4737,0.7895
0.25,0.2,0.4,0.15,0.2727,0.4211,0.7895
0.05,0.1,0.75,0.1,0.2726,0.4737,0.7368
0.2,0.4,0.2,0.2,0.2725,0.4737,0.7895
0.35,0.25,0.3,0.1,0.2725,0.4737,0.7895
0.35,0.3,0.3,0.05,0.2725,0.4737,0.7895
0.4,0.2,0.35,0.05,0.2725,0.4737,0.7895
0.2,0.2,0.0,0.6,0.2725,0.3684,0.6316
0.25,0.25,0.0,0.5,0.2725,0.3684,0.6316
0.3,0.3,0.0,0.4,0.2725,0.3684,0.6316
0.35,0.35,0.0,0.3,0.2725,0.3684,0.6316
0.4,0.4,0.0,0.2,0.2724,0.3684,0.6316
0.45,0.45,0.0,0.1,0.2724,0.3684,0.6316
0.5,0.5,0.0,0.0,0.2724,0.3684,0.6316
0.3,0.35,0.25,0.1,0.2723,0.4737,0.7895
0.1,0.5,0.2,0.2,0.2722,0.4737,0.7895
0.35,0.15,0.35,0.15,0.2721,0.4737,0.7368
0.3,0.25,0.35,0.1,0.272,0.4211,0.7895
0.3,0.3,0.35,0.05,0.272,0.4211,0.7895
0.1,0.25,0.4,0.25,0.272,0.3684,0.7895
0.1,0.3,0.4,0.2,0.272,0.3684,0.7895
0.15,0.15,0.0,0.7,0.272,0.3684,0.6316
0.1,0.1,0.0,0.8,0.2719,0.3684,0.6316
0.2,0.1,0.5,0.2,0.2718,0.4211,0.7895
0.1,0.2,0.35,0.35,0.2718,0.3684,0.7895
0.1,0.2,0.4,0.3,0.2718,0.3684,0.7895
0.1,0.25,0.35,0.3,0.2718,0.3684,0.7895
0.05,0.05,0.0,0.9,0.2718,0.3684,0.6316
0.3,0.15,0.45,0.1,0.2717,0.4211,0.7895
0.45,0.2,0.05,0.3,0.2717,0.3684,0.6316
0.4,0.15,0.35,0.1,0.2716,0.4737,0.7368
0.4,0.2,0.3,0.1,0.2716,0.4737,0.7368
0.1,0.45,0.3,0.15,0.2716,0.4211,0.7895
0.1,0.5,0.25,0.15,0.2716,0.4211,0.7895
0.1,0.5,0.3,0.1,0.2716,0.4211,0.7895
0.1,0.55,0.25,0.1,0.2716,0.4211,0.7895
0.1,0.55,0.3,0.05,0.2716,0.4211,0.7895
0.1,0.6,0.25,0.05,0.2716,0.4211,0.7895
0.25,0.2,0.45,0.1,0.2716,0.4211,0.7895
0.3,0.1,0.35,0.25,0.2716,0.4211,0.7368
0.1,0.2,0.15,0.55,0.2716,0.3684,0.7368
0.1,0.25,0.15,0.5,0.2716,0.3684,0.7368
0.55,0.25,0.05,0.15,0.2716,0.3684,0.6316
0.2,0.3,0.25,0.25,0.2715,0.4737,0.7895
0.2,0.1,0.45,0.25,0.2715,0.4211,0.7895
0.1,0.05,0.6,0.25,0.2715,0.4211,0.7368
0.1,0.4,0.3,0.2,0.2714,0.4211,0.7895
0.1,0.45,0.25,0.2,0.2714,0.4211,0.7895
0.25,0.15,0.4,0.2,0.2714,0.4211,0.7895
0.15,0.15,0.5,0.2,0.2714,0.3684,0.7895
0.15,0.2,0.5,0.15,0.2714,0.3684,0.7895
0.15,0.2,0.55,0.1,0.2714,0.3684,0.7895
0.1,0.15,0.65,0.1,0.2713,0.3684,0.7368
0.25,0.4,0.2,0.15,0.2712,0.4737,0.7895
0.25,0.45,0.2,0.1,0.2712,0.4737,0.7895
0.2,0.35,0.2,0.25,0.2712,0.4737,0.7368
0.1,0.25,0.45,0.2,0.2711,0.3684,0.7895
0.1,0.3,0.45,0.15,0.2711,0.3684,0.7895
0.3,0.15,0.3,0.25,0.271,0.4737,0.7895
0.3,0.2,0.3,0.2,0.271,0.4737,0.7895
0.1,0.4,0.2,0.3,0.271,0.4211,0.7895
0.1,0.45,0.2,0.25,0.271,0.4211,0.7895
0.15,0.25,0.25,0.35,0.271,0.4211,0.7895
0.35,0.35,0.25,0.05,0.2709,0.4737,0.7368
0.25,0.25,0.25,0.25,0.2708,0.4737,0.7895
0.3,0.1,0.4,0.2,0.2708,0.4211,0.7368
0.15,0.15,0.55,0.15,0.2708,0.3684,0.7895
0.1,0.2,0.3,0.4,0.2707,0.4211,0.7895
0.2,0.25,0.25,0.3,0.2707,0.4211,0.7895
0.1,0.15,0.45,0.3,0.2707,0.3684,0.7895
0.1,0.15,0.5,0.25,0.2707,0.3684,0.7895
0.1,0.2,0.45,0.25,0.2707,0.3684,0.7895
0.1,0.2,0.5,0.2,0.2707,0.3684,0.7895
0.1,0.2,0.55,0.15,0.2707,0.3684,0.7895
0.1,0.25,0.55,0.1,0.2707,0.3684,0.7895
0.25,0.05,0.6,0.1,0.2706,0.4737,0.7368
0.35,0.15,0.3,0.2,0.2706,0.4737,0.7368
0.15,0.15,0.3,0.4,0.2706,0.4211,0.7895
0.25,0.15,0.35,0.25,0.2705,0.4211,0.7895
0.1,0.15,0.4,0.35,0.2705,0.3684,0.7895
0.2,0.15,0.35,0.3,0.2704,0.4211,0.7895
0.25,0.15,0.45,0.15,0.2704,0.4211,0.7895
0.25,0.15,0.5,0.1,0.2704,0.4211,0.7895
0.15,0.2,0.25,0.4,0.2703,0.4211,0.7895
0.2,0.1,0.4,0.3,0.2702,0.4211,0.7895
0.2,0.15,0.4,0.25,0.2702,0.4211,0.7895
0.3,0.2,0.25,0.25,0.2702,0.4211,0.7368
0.1,0.3,0.25,0.35,0.2701,0.4211,0.7895
0.3,0.1,0.5,0.1,0.2701,0.4211,0.7368
0.25,0.25,0.3,0.2,0.27,0.4211,0.7895
0.05,0.15,0.7,0.1,0.27,0.4211,0.7368
0.25,0.1,0.4,0.25,0.27,0.4211,0.7368
0.3,0.3,0.25,0.15,0.2699,0.4737,0.7895
0.15,0.05,0.65,0.15,0.2699,0.4211,0.7368
0.25,0.1,0.45,0.2,0.2699,0.4211,0.7368
0.25,0.1,0.5,0.15,0.2699,0.4211,0.7368
0.25,0.1,0.55,0.1,0.2699,0.4211,0.7368
0.3,0.1,0.45,0.15,0.2699,0.4211,0.7368
0.3,0.25,0.25,0.2,0.2698,0.4737,0.7895
0.35,0.2,0.3,0.15,0.2698,0.4737,0.7895
0.1,0.25,0.5,0.15,0.2698,0.3684,0.7895
0.3,0.15,0.25,0.3,0.2696,0.4211,0.7368
0.25,0.2,0.25,0.3,0.2695,0.4737,0.7368
0.2,0.3,0.2,0.3,0.2695,0.4211,0.7368
0.25,0.2,0.3,0.25,0.2694,0.4211,0.7895
0.1,0.05,0.75,0.1,0.2693,0.4737,0.7368
0.2,0.05,0.4,0.35,0.2693,0.4211,0.7368
0.2,0.05,0.45,0.3,0.2693,0.4211,0.7368
0.1,0.15,0.35,0.4,0.2692,0.3684,0.7895
0.1,0.25,0.25,0.4,0.2691,0.4211,0.7895
0.2,0.25,0.2,0.35,0.2691,0.4211,0.7368
0.05,0.15,0.05,0.75,0.2691,0.4211,0.6316
0.25,0.15,0.0,0.6,0.2691,0.3684,0.6316
0.35,0.15,0.45,0.05,0.269,0.4211,0.7368
0.4,0.25,0.0,0.35,0.269,0.3684,0.6316
0.5,0.3,0.0,0.2,0.269,0.3684,0.6316
0.0,0.1,0.75,0.15,0.2689,0.5789,0.6316
0.1,0.05,0.5,0.35,0.2689,0.4211,0.7368
0.1,0.05,0.55,0.3,0.2689,0.4211,0.7368
0.05,0.4,0.35,0.2,0.2689,0.3684,0.7895
0.1,0.35,0.4,0.15,0.2689,0.3684,0.7895
0.6,0.35,0.0,0.05,0.2689,0.3684,0.6316
0.1,0.15,0.3,0.45,0.2688,0.4211,0.7895
0.1,0.45,0.15,0.3,0.2688,0.4211,0.7895
0.3,0.5,0.2,0.0,0.2688,0.4211,0.7368
0.35,0.25,0.25,0.15,0.2688,0.4211,0.7368
0.35,0.3,0.25,0.1,0.2688,0.4211,0.7368
0.05,0.2,0.65,0.1,0.2687,0.4211,0.7368
0.25,0.1,0.35,0.3,0.2687,0.4211,0.7368
0.05,0.3,0.55,0.1,0.2686,0.3684,0.7895
0.05,0.45,0.35,0.15,0.2686,0.3684,0.7895
0.05,0.5,0.35,0.1,0.2686,0.3684,0.7895
0.1,0.1,0.35,0.45,0.2686,0.3684,0.7895
0.05,0.15,0.1,0.7,0.2686,0.3684,0.6842
0.25,0.35,0.2,0.2,0.2685,0.4211,0.7368
0.35,0.2,0.25,0.2,0.2685,0.4211,0.7368
0.15,0.15,0.25,0.45,0.2685,0.3684,0.7895
0.1,0.55,0.15,0.2,0.2684,0.4737,0.7895
0.1,0.1,0.4,0.4,0.2684,0.3684,0.7895
0.3,0.15,0.0,0.55,0.2684,0.3684,0.6316
0.35,0.2,0.0,0.45,0.2684,0.3684,0.6316
0.2,0.3,0.15,0.35,0.2683,0.4211,0.6842
0.05,0.1,0.1,0.75,0.2683,0.3684,0.6842
0.4,0.2,0.0,0.4,0.2683,0.3684,0.6316
0.2,0.1,0.35,0.35,0.2682,0.4211,0.7895
0.45,0.25,0.0,0.3,0.2682,0.3684,0.6316
0.5,0.25,0.0,0.25,0.2682,0.3684,0.6316
0.55,0.3,0.0,0.15,0.2682,0.3684,0.6316
0.6,0.3,0.0,0.1,0.2682,0.3684,0.6316
0.65,0.3,0.0,0.05,0.2682,0.3684,0.6316
0.65,0.35,0.0,0.0,0.2682,0.3684,0.6316
0.15,0.3,0.2,0.35,0.2681,0.4211,0.7895
0.2,0.1,0.0,0.7,0.2681,0.3684,0.6316
0.15,0.1,0.35,0.4,0.268,0.4211,0.7895
0.25,0.25,0.2,0.3,0.268,0.4211,0.7368
0.2,0.25,0.15,0.4,0.268,0.4211,0.6842
0.05,0.4,0.4,0.15,0.2679,0.3684,0.7895
0.05,0.45,0.4,0.1,0.2679,0.3684,0.7895
0.15,0.3,0.15,0.4,0.2678,0.4211,0.7368
0.25,0.15,0.25,0.35,0.2678,0.4211,0.7368
0.25,0.2,0.2,0.35,0.2677,0.4211,0.7368
0.1,0.1,0.5,0.3,0.2677,0.3684,0.7895
0.1,0.1,0.55,0.25,0.2677,0.3684,0.7895
0.15,0.1,0.6,0.15,0.2677,0.3684,0.7895
0.1,0.05,0.0,0.85,0.2677,0.3684,0.6316
0.2,0.15,0.3,0.35,0.2676,0.4211,0.7895
0.05,0.05,0.6,0.3,0.2676,0.4211,0.7368
0.3,0.45,0.2,0.05,0.2676,0.4211,0.7368
0.1,0.35,0.45,0.1,0.2676,0.3684,0.7895
0.15,0.2,0.2,0.45,0.2673,0.3684,0.7895
0.25,0.15,0.2,0.4,0.2672,0.4211,0.6842
0.1,0.1,0.6,0.2,0.2672,0.3684,0.7368
0.45,0.25,0.3,0.0,0.2671,0.4211,0.7368
0.1,0.05,0.45,0.4,0.267,0.4211,0.7895
0.1,0.4,0.15,0.35,0.267,0.4211,0.7368
0.15,0.25,0.15,0.45,0.267,0.4211,0.6842
0.3,0.4,0.2,0.1,0.267,0.4211,0.6842
0.15,0.05,0.35,0.45,0.2669,0.4211,0.7368
0.1,0.1,0.65,0.15,0.2669,0.3684,0.7368
0.55,0.25,0.0,0.2,0.2669,0.3684,0.6316
0.05,0.25,0.6,0.1,0.2668,0.4211,0.7368
0.05,0.1,0.65,0.2,0.2667,0.4211,0.7368
0.05,0.35,0.35,0.25,0.2667,0.3684,0.7895
0.1,0.3,0.5,0.1,0.2667,0.3684,0.7895
0.25,0.15,0.3,0.3,0.2665,0.4211,0.7895
0.1,0.05,0.7,0.15,0.2665,0.4211,0.7368
0.2,0.1,0.2,0.5,0.2665,0.4211,0.7368
0.2,0.15,0.2,0.45,0.2665,0.4211,0.7368
0.2,0.1,0.3,0.4,0.2664,0.4211,0.7895
0.15,0.2,0.15,0.5,0.2664,0.4211,0.6842
0.05,0.4,0.3,0.25,0.2664,0.3684,0.7895
0.2,0.2,0.2,0.4,0.2663,0.4211,0.7368
0.0,0.35,0.55,0.1,0.2663,0.4211,0.6842
0.1,0.15,0.55,0.2,0.2663,0.3684,0.7895
0.1,0.15,0.6,0.15,0.2663,0.3684,0.7895
0.15,0.25,0.2,0.4,0.2663,0.3684,0.7895
0.1,0.1,0.45,0.35,0.2662,0.3684,0.7895
0.1,0.3,0.2,0.4,0.2662,0.3684,0.7895
0.1,0.35,0.2,0.35,0.2662,0.3684,0.7895
0.1,0.2,0.25,0.45,0.2661,0.3684,0.7895
0.2,0.45,0.15,0.2,0.266,0.4211,0.7368
0.25,0.1,0.25,0.4,0.266,0.4211,0.6842
0.1,0.15,0.2,0.55,0.2659,0.3684,0.7895
0.4,0.15,0.3,0.15,0.2659,0.3684,0.6842
0.2,0.35,0.15,0.3,0.2658,0.4211,0.6842
0.2,0.4,0.15,0.25,0.2658,0.4211,0.6842
0.05,0.35,0.4,0.2,0.2657,0.3684,0.7895
0.05,0.1,0.7,0.15,0.2655,0.4211,0.7368
0.2,0.2,0.15,0.45,0.2655,0.4211,0.6842
0.05,0.4,0.45,0.1,0.2655,0.3684,0.7895
0.2,0.1,0.15,0.55,0.2654,0.4211,0.6842
0.2,0.15,0.15,0.5,0.2654,0.4211,0.6842
0.25,0.1,0.2,0.45,0.2654,0.4211,0.6316
0.05,0.0,0.8,0.15,0.2654,0.3158,0.5263
0.15,0.1,0.3,0.45,0.2653,0.4211,0.7895
0.05,0.05,0.65,0.25,0.2652,0.4211,0.7368
0.1,0.5,0.15,0.25,0.265,0.4211,0.7895
0.05,0.3,0.45,0.2,0.2649,0.3684,0.7895
0.05,0.35,0.45,0.15,0.2649,0.3684,0.7895
0.25,0.55,0.15,0.05,0.2648,0.4211,0.6842
0.05,0.3,0.5,0.15,0.2648,0.3684,0.7895
0.05,0.55,0.15,0.25,0.2647,0.4211,0.7895
0.05,0.1,0.6,0.25,0.2647,0.4211,0.7368
0.15,0.1,0.15,0.6,0.2647,0.4211,0.6842
0.15,0.15,0.15,0.55,0.2647,0.4211,0.6842
0.3,0.2,0.0,0.5,0.2647,0.3684,0.6316
0.3,0.3,0.2,0.2,0.2646,0.4211,0.6842
0.45,0.3,0.0,0.25,0.2646,0.3684,0.6316
0.5,0.35,0.0,0.15,0.2646,0.3684,0.6316
0.25,0.5,0.15,0.1,0.2645,0.4211,0.6842
0.55,0.35,0.0,0.1,0.2645,0.3684,0.6316
0.6,0.4,0.0,0.0,0.2645,0.3684,0.6316
0.2,0.2,0.25,0.35,0.2642,0.4211,0.7368
0.25,0.3,0.2,0.25,0.2642,0.4211,0.7368
0.1,0.2,0.1,0.6,0.2642,0.4211,0.6842
0.05,0.25,0.5,0.2,0.2642,0.3684,0.7895
0.05,0.35,0.5,0.1,0.2642,0.3684,0.7895
0.35,0.15,0.25,0.25,0.2642,0.3684,0.6842
0.15,0.1,0.0,0.75,0.2642,0.3684,0.6316
0.4,0.35,0.25,0.0,0.2641,0.4211,0.6842
0.15,0.3,0.1,0.45,0.2639,0.4211,0.6842
0.3,0.35,0.2,0.15,0.2639,0.4211,0.6842
0.05,0.3,0.3,0.35,0.2638,0.3684,0.7895
0.05,0.35,0.3,0.3,0.2638,0.3684,0.7895
0.1,0.1,0.15,0.65,0.2638,0.3684,0.7368
0.3,0.2,0.2,0.3,0.2637,0.4211,0.6842
0.3,0.25,0.2,0.25,0.2637,0.4211,0.6842
0.3,0.5,0.15,0.05,0.2637,0.4211,0.6842
0.05,0.25,0.55,0.15,0.2637,0.3684,0.7368
0.25,0.1,0.3,0.35,0.2636,0.4211,0.7368
0.1,0.15,0.1,0.65,0.2636,0.4211,0.6842
0.15,0.2,0.1,0.55,0.2636,0.4211,0.6842
0.4,0.3,0.25,0.05,0.2636,0.4211,0.6842
0.05,0.2,0.15,0.6,0.2636,0.3684,0.7368
0.1,0.1,0.2,0.6,0.2636,0.3684,0.7368
0.0,0.8,0.2,0.0,0.2635,0.4211,0.7368
0.15,0.25,0.1,0.5,0.2635,0.4211,0.6842
0.25,0.35,0.15,0.25,0.2635,0.4211,0.6842
0.25,0.4,0.15,0.2,0.2635,0.4211,0.6842
0.25,0.45,0.15,0.15,0.2635,0.4211,0.6842
0.4,0.25,0.25,0.1,0.2635,0.4211,0.6842
0.1,0.1,0.25,0.55,0.2635,0.3684,0.7895
0.05,0.05,0.7,0.2,0.2634,0.3684,0.7368
0.05,0.05,0.4,0.5,0.2631,0.4211,0.7368
0.3,0.55,0.15,0.0,0.263,0.4211,0.6842
0.05,0.15,0.6,0.2,0.2629,0.3684,0.7368
0.1,0.15,0.15,0.6,0.2629,0.3684,0.7368
0.05,0.25,0.45,0.25,0.2628,0.3684,0.7895
0.05,0.3,0.4,0.25,0.2628,0.3684,0.7895
0.45,0.2,0.3,0.05,0.2628,0.3684,0.7368
0.0,0.7,0.25,0.05,0.2627,0.4211,0.7368
0.05,0.05,0.45,0.45,0.2627,0.4211,0.7368
0.3,0.45,0.15,0.1,0.2627,0.4211,0.6842
0.05,0.15,0.15,0.65,0.2626,0.3684,0.7368
0.05,0.15,0.65,0.15,0.2626,0.3684,0.7368
0.2,0.15,0.65,0.0,0.2624,0.4737,0.7895
0.2,0.1,0.25,0.45,0.2624,0.3684,0.7368
0.2,0.15,0.25,0.4,0.2624,0.3684,0.7368
0.45,0.3,0.25,0.0,0.2623,0.4211,0.6842
0.05,0.15,0.55,0.25,0.2623,0.3684,0.7368
0.05,0.5,0.15,0.3,0.2622,0.4211,0.7895
0.05,0.05,0.35,0.55,0.2622,0.4211,0.7368
0.15,0.05,0.3,0.5,0.2622,0.4211,0.7368
0.35,0.35,0.2,0.1,0.2622,0.4211,0.6842
0.05,0.05,0.75,0.15,0.2622,0.3684,0.7368
0.05,0.1,0.3,0.55,0.2622,0.3158,0.7895
0.35,0.3,0.2,0.15,0.2621,0.4211,0.6842
0.4,0.35,0.2,0.05,0.2621,0.4211,0.6842
0.3,0.4,0.15,0.15,0.262,0.4211,0.6842
0.3,0.15,0.2,0.35,0.262,0.3684,0.6842
0.2,0.1,0.7,0.0,0.2619,0.4211,0.7895
0.05,0.2,0.5,0.25,0.2618,0.3684,0.7895
0.15,0.15,0.1,0.6,0.2616,0.4211,0.6842
0.05,0.2,0.3,0.45,0.2616,0.3684,0.7895
0.05,0.25,0.3,0.4,0.2616,0.3684,0.7895
0.05,0.3,0.35,0.3,0.2616,0.3684,0.7895
0.05,0.2,0.55,0.2,0.2616,0.3684,0.7368
0.05,0.2,0.6,0.15,0.2616,0.3684,0.7368
0.15,0.15,0.2,0.5,0.2616,0.3684,0.7368
0.1,0.1,0.1,0.7,0.2615,0.4211,0.6842
0.15,0.35,0.1,0.4,0.2615,0.4211,0.6842
0.4,0.2,0.25,0.15,0.2615,0.3684,0.6842
0.35,0.4,0.2,0.05,0.2614,0.4211,0.6842
0.35,0.45,0.2,0.0,0.2614,0.4211,0.6842
0.15,0.1,0.25,0.5,0.2614,0.3684,0.7895
0.1,0.05,0.1,0.75,0.2613,0.4211,0.6842
0.4,0.4,0.2,0.0,0.2613,0.4211,0.6842
0.05,0.15,0.35,0.45,0.2613,0.3684,0.7895
0.05,0.1,0.55,0.3,0.2613,0.3684,0.7368
0.35,0.25,0.2,0.2,0.2612,0.4211,0.6842
0.05,0.1,0.15,0.7,0.2612,0.3684,0.7368
0.25,0.2,0.15,0.4,0.2611,0.4211,0.6842
0.25,0.25,0.15,0.35,0.2611,0.4211,0.6842
0.05,0.0,0.75,0.2,0.2611,0.3158,0.5263
0.25,0.15,0.15,0.45,0.261,0.4211,0.6842
0.4,0.3,0.2,0.1,0.261,0.4211,0.6842
0.05,0.2,0.35,0.4,0.2609,0.3684,0.7895
0.05,0.25,0.35,0.35,0.2609,0.3684,0.7895
0.05,0.1,0.05,0.8,0.2607,0.4211,0.6316
0.15,0.1,0.1,0.65,0.2607,0.4211,0.6316
0.2,0.3,0.1,0.4,0.2607,0.4211,0.6316
0.2,0.35,0.1,0.35,0.2607,0.4211,0.6316
0.05,0.1,0.2,0.65,0.2606,0.3158,0.7895
0.05,0.15,0.2,0.6,0.2606,0.3158,0.7895
0.35,0.5,0.15,0.0,0.2605,0.4211,0.6316
0.1,0.05,0.25,0.6,0.2605,0.3684,0.7895
