w_flavour,w_nutrition,w_macro,w_cooccurrence,MRR,H@5,H@10
0.15,0.55,0.1,0.2,0.2976,0.4211,0.6842
0.1,0.55,0.1,0.25,0.2971,0.4211,0.7368
0.2,0.55,0.1,0.15,0.2971,0.4211,0.6842
0.2,0.6,0.1,0.1,0.2971,0.4211,0.6842
0.1,0.7,0.1,0.1,0.297,0.4737,0.7895
0.1,0.6,0.1,0.2,0.297,0.4211,0.7368
0.25,0.65,0.05,0.05,0.297,0.4211,0.6316
0.15,0.5,0.1,0.25,0.2969,0.4211,0.6842
0.2,0.55,0.0,0.25,0.2967,0.4211,0.6316
0.15,0.4,0.1,0.35,0.2966,0.4211,0.6842
0.15,0.45,0.1,0.3,0.2966,0.4211,0.6842
0.15,0.4,0.0,0.45,0.2966,0.4211,0.6316
0.25,0.65,0.0,0.1,0.2965,0.4211,0.6316
0.25,0.7,0.0,0.05,0.2965,0.4211,0.6316
0.05,0.2,0.05,0.7,0.2958,0.4211,0.6316
0.05,0.65,0.1,0.2,0.2952,0.4211,0.7895
0.05,0.5,0.3,0.15,0.2952,0.3684,0.7895
0.05,0.55,0.25,0.15,0.2952,0.3684,0.7895
0.05,0.55,0.3,0.1,0.2952,0.3684,0.7895
0.05,0.6,0.25,0.1,0.2952,0.3684,0.7895
0.05,0.65,0.2,0.1,0.2952,0.3684,0.7895
0.05,0.65,0.25,0.05,0.2952,0.3684,0.7895
0.05,0.7,0.2,0.05,0.2952,0.3684,0.7895
0.1,0.4,0.35,0.15,0.2952,0.3684,0.7895
0.1,0.4,0.4,0.1,0.2952,0.3684,0.7895
0.1,0.45,0.35,0.1,0.2952,0.3684,0.7895
0.05,0.6,0.2,0.15,0.295,0.3684,0.7895
0.1,0.3,0.05,0.55,0.2942,0.4211,0.6316
0.05,0.45,0.3,0.2,0.2942,0.3684,0.7895
0.1,0.65,0.1,0.15,0.294,0.4211,0.7368
0.2,0.4,0.0,0.4,0.294,0.4211,0.6316
0.2,0.45,0.0,0.35,0.294,0.4211,0.6316
0.2,0.5,0.0,0.3,0.294,0.4211,0.6316
